                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1393,                 5.1349,                 1.8439,                0.00083,                0.03846,                0.00175,                0.00122,                 2.9133,                 5.7547,                 1.7115,                 0.0982,                 0.0002,                 0.0002
                      2,                 2.6165,                 3.9318,                 1.3396,                0.00083,                0.03846,                0.00175,                0.00122,                 3.0076,                 7.7594,                 1.9213,               0.095498,             0.00049835,             0.00049835
                      3,                 2.5763,                 3.3397,                 1.2608,                 0.0019,                0.15385,                0.00305,                0.00193,                 2.4926,                 4.6007,                 1.5982,               0.092795,             0.00079472,             0.00079472
                      4,                  2.517,                 3.4039,                 1.4262,                0.13198,                0.07692,                0.02657,                0.01156,                 2.4753,                 4.2587,                 1.6786,               0.090089,              0.0010891,              0.0010891
                      5,                 2.3862,                 3.4429,                 1.4148,                0.18619,                0.07692,                0.04973,                0.02652,                 2.5595,                 5.7484,                 1.6907,               0.087382,              0.0013815,              0.0013815
                      6,                  2.581,                 3.6496,                 1.4335,                0.08593,                0.15385,                0.06239,                0.03571,                 2.3765,                 11.496,                 1.4409,               0.084672,               0.001672,               0.001672
                      7,                 2.6482,                 3.6584,                 1.4056,                  0.086,                0.11538,                0.05103,                 0.0287,                 2.2961,                 11.418,                 1.3746,                0.08196,              0.0019604,              0.0019604
                      8,                 2.3665,                 3.3498,                 1.4047,                 0.0977,                0.07692,                 0.0117,                0.00442,                 2.3458,                 11.141,                 1.4079,               0.079247,              0.0022469,              0.0022469
                      9,                 2.3755,                 3.1508,                 1.5679,                 0.0991,                0.07692,                0.04195,                0.02682,                 2.4585,                 11.941,                  1.492,               0.076531,              0.0025314,              0.0025314
                     10,                 2.2089,                 3.3088,                 1.4742,                0.08613,                0.07692,                0.03998,                0.02967,                 2.5845,                 8.8223,                 1.5839,               0.073814,              0.0028139,              0.0028139
                     11,                 2.3369,                 3.1782,                 1.4611,                0.03714,                0.07692,                0.03903,                0.03112,                 2.5588,                 32.582,                 1.6479,               0.071094,              0.0030944,              0.0030944
                     12,                 2.3586,                 3.1264,                 1.4028,                0.04226,                0.07692,                0.01937,                0.01605,                 2.5276,                 59.882,                 1.6134,               0.068373,              0.0033729,              0.0033729
