                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.724,                 4.6666,                 1.2816,                0.00048,                0.03846,                0.00025,                  5e-05,                 3.8932,                 6.0866,                 1.2309,                 0.0982,                 0.0002,                 0.0002
                      2,                  3.703,                 4.2272,                 1.2132,                0.00143,                0.11538,                0.00299,                 0.0006,                 3.6581,                 6.1943,                 1.1365,               0.095498,             0.00049835,             0.00049835
                      3,                 3.6867,                 4.0409,                 1.1968,                0.00095,                0.07692,                0.00084,                0.00019,                 3.6752,                 5.2362,                 1.1171,               0.092795,             0.00079472,             0.00079472
                      4,                 3.5828,                 3.8278,                 1.1865,                0.00095,                0.07692,                0.00056,                0.00011,                 3.9933,                 5.3358,                 1.1525,               0.090089,              0.0010891,              0.0010891
                      5,                 3.4673,                 3.8012,                 1.1833,                0.00095,                0.07692,                0.00051,                0.00016,                 3.9033,                 5.3716,                 1.1849,               0.087382,              0.0013815,              0.0013815
                      6,                 3.5529,                  3.885,                 1.1839,                0.00095,                0.07692,                0.00051,                0.00016,                 3.9269,                 4.8696,                 1.2017,               0.084672,               0.001672,               0.001672
                      7,                 3.7278,                 3.7741,                 1.2207,                0.00095,                0.07692,                0.00062,                0.00012,                 3.8777,                 4.6281,                 1.1506,                0.08196,              0.0019604,              0.0019604
                      8,                 3.4833,                 3.6812,                  1.175,                0.00095,                0.07692,                0.00167,                0.00039,                 4.0994,                 4.7062,                 1.1446,               0.079247,              0.0022469,              0.0022469
                      9,                 3.5582,                  3.573,                  1.244,                 0.0019,                0.15385,                0.02171,                0.00513,                 3.8825,                 5.3977,                 1.1007,               0.076531,              0.0025314,              0.0025314
                     10,                 3.3231,                 3.7704,                 1.1746,                0.06227,                0.07692,                0.02598,                0.00751,                  3.685,                 6.6205,                 1.0746,               0.073814,              0.0028139,              0.0028139
                     11,                 3.5379,                 3.5146,                 1.1944,                 0.0019,                0.15385,                0.02017,                 0.0137,                 3.6292,                 7.5816,                 1.1247,               0.071094,              0.0030944,              0.0030944
                     12,                 3.5206,                  3.597,                 1.1731,                0.13369,                0.03846,                0.01937,                0.01026,                 3.7144,                 7.1743,                 1.0987,               0.068373,              0.0033729,              0.0033729
                     13,                 3.7681,                 3.6318,                 1.1697,                0.49434,                0.03846,                 0.0439,                  0.018,                 3.7121,                 6.8194,                 1.0928,                0.06565,              0.0036495,              0.0036495
                     14,                 3.8842,                 3.6745,                 1.1181,                0.21697,                0.07485,                0.02711,                0.00896,                  3.478,                 10.617,                  1.094,               0.062924,              0.0039241,              0.0039241
                     15,                 3.6933,                  3.889,                 1.1547,                0.00188,                0.03846,                0.00132,                 0.0004,                 3.8735,                 25.938,                 1.1738,               0.060197,              0.0041967,              0.0041967
                     16,                 3.6777,                 3.8875,                  1.135,                0.00136,                0.03846,                0.00183,                0.00029,                 3.8063,                 18.777,                 1.1544,               0.057467,              0.0044673,              0.0044673
                     17,                 3.6369,                 3.8626,                 1.1848,                0.00143,                0.11538,                0.00158,                0.00027,                 4.1863,                 6.0521,                 1.1692,               0.054736,               0.004736,               0.004736
                     18,                 3.5409,                 3.6591,                 1.1301,                0.44113,                0.03846,                0.01933,                0.00203,                 4.2234,                 5.1063,                  1.167,               0.052003,              0.0050027,              0.0050027
                     19,                 3.6425,                 3.8167,                  1.139,                0.00053,                0.03846,                0.00118,                0.00024,                 4.2733,                 4.9242,                 1.1632,               0.049267,              0.0052674,              0.0052674
                     20,                 3.6081,                 3.6704,                  1.108,                0.00053,                0.03846,                0.00118,                0.00024,                 4.0872,                 5.5934,                 1.0996,                0.04653,              0.0055301,              0.0055301
                     21,                 3.7731,                 3.8141,                 1.1926,                0.00053,                0.03846,                0.00118,                0.00024,                 4.5181,                 7.6861,                 1.4188,               0.043791,              0.0057908,              0.0057908
                     22,                  3.982,                  3.821,                 1.1772,                0.00053,                0.03846,                0.00118,                0.00024,                 3.9866,                 6.9795,                 1.3608,                0.04105,              0.0060495,              0.0060495
                     23,                   3.61,                 3.7566,                 1.1649,                0.12671,                0.03846,                0.00624,                0.00062,                 4.4852,                 8.4749,                 1.7282,               0.038306,              0.0063063,              0.0063063
                     24,                 3.5377,                  3.626,                  1.155,                0.12671,                0.03846,                0.00624,                0.00062,                 4.2424,                 8.4979,                 1.7964,               0.035561,              0.0065611,              0.0065611
                     25,                  3.677,                  3.718,                 1.2012,                0.00064,                0.03846,                0.00037,                  4e-05,                 4.6447,                 317.92,                 2.0783,               0.032814,              0.0068139,              0.0068139
                     26,                 3.7833,                  3.668,                 1.1588,                0.00946,                0.03846,                0.00118,                0.00021,                 3.7275,                 7.7128,                 1.1806,               0.030065,              0.0070648,              0.0070648
                     27,                  3.596,                   3.77,                 1.2215,                0.00946,                0.03846,                0.00118,                0.00021,                 4.2112,                 74.429,                 1.3435,               0.027314,              0.0073136,              0.0073136
                     28,                 3.4854,                 3.5072,                 1.1607,                0.00106,                0.03846,                0.00028,                  3e-05,                  4.008,                  19857,                 1.4037,                0.02456,              0.0075605,              0.0075605
                     29,                 3.5748,                 3.5356,                 1.2083,                0.00106,                0.03846,                0.00028,                  3e-05,                  4.008,                  19857,                 1.4037,               0.021805,              0.0078054,              0.0078054
                     30,                 3.5997,                 3.7509,                 1.1626,                0.00106,                0.03846,                0.00028,                  3e-05,                  4.634,              1.048e+05,                 13.295,               0.019048,              0.0080483,              0.0080483
                     31,                 3.5405,                 3.5385,                 1.2112,                0.00106,                0.03846,                0.00028,                  3e-05,                 4.3609,                 636.54,                 2.4634,               0.016289,              0.0082892,              0.0082892
                     32,                 3.8084,                 3.5756,                 1.2004,                0.00095,                0.07692,                0.00109,                0.00048,                 3.8098,                 6.8317,                 1.1454,               0.013528,              0.0085281,              0.0085281
                     33,                 3.6024,                 3.7108,                 1.1687,                0.00095,                0.07692,                0.00109,                0.00048,                 3.8098,                 6.8317,                 1.1454,               0.010765,              0.0087651,              0.0087651
                     34,                 3.6189,                 3.3967,                 1.1426,                0.00067,                0.03846,                0.00065,                0.00013,                 3.6484,                 8.7379,                 1.0494,               0.008911,               0.008911,               0.008911
                     35,                 3.7569,                 3.7011,                 1.1625,                0.00152,                0.03846,                0.00279,                0.00056,                 4.2368,                 8.0495,                 1.2197,               0.008878,               0.008878,               0.008878
                     36,                 3.4054,                 3.6832,                 1.2135,                0.01331,                0.03846,                 0.0066,                0.00132,                 4.0826,                 5.9146,                 1.1758,               0.008845,               0.008845,               0.008845
                     37,                 3.7053,                 3.6847,                 1.2016,                0.01331,                0.03846,                 0.0066,                0.00132,                 4.0826,                 5.9146,                 1.1758,               0.008812,               0.008812,               0.008812
                     38,                 3.6096,                 3.7509,                  1.349,                0.00931,                0.03846,                0.00206,                0.00041,                 4.1757,                 11.963,                 1.1393,               0.008779,               0.008779,               0.008779
                     39,                 3.5915,                 3.5692,                 1.2309,                0.01099,                0.03846,                 0.0074,                 0.0033,                 3.6185,                 5.0946,                 1.2047,               0.008746,               0.008746,               0.008746
                     40,                 3.4641,                 3.6239,                  1.176,                0.01099,                0.03846,                 0.0074,                 0.0033,                      0,                0.00338,                      0,               0.008713,               0.008713,               0.008713
                     41,                 3.8092,                 3.7546,                 1.2221,                0.01099,                0.03846,                 0.0074,                 0.0033,                      0,                0.00338,                      0,                0.00868,                0.00868,                0.00868
                     42,                 3.4568,                 3.6031,                 1.3095,                0.01099,                0.03846,                 0.0074,                 0.0033,                      0,                 0.0127,                      0,               0.008647,               0.008647,               0.008647
                     43,                 3.4397,                 3.7652,                  1.196,                0.01099,                0.03846,                 0.0074,                 0.0033,                      0,                0.01661,                      0,               0.008614,               0.008614,               0.008614
                     44,                 3.7322,                 3.7122,                 1.2037,                0.01099,                0.03846,                 0.0074,                 0.0033,                      0,                0.01612,                      0,               0.008581,               0.008581,               0.008581
                     45,                 3.5322,                  3.496,                 1.1944,                0.01099,                0.03846,                 0.0074,                 0.0033,                      0,                0.01612,                      0,               0.008548,               0.008548,               0.008548
                     46,                 3.6016,                 3.6105,                 1.1648,                0.01099,                0.03846,                 0.0074,                 0.0033,                 4.0331,                 6.7398,                0.99508,               0.008515,               0.008515,               0.008515
                     47,                 3.4194,                 3.5868,                 1.2065,                 0.3126,                0.03846,                0.03577,                0.01609,                 3.9804,                 5.1671,                 1.1448,               0.008482,               0.008482,               0.008482
                     48,                 3.6779,                 3.6291,                 1.1844,                0.23834,                0.03846,                0.03575,                0.01422,                 4.0528,                 4.7484,                 1.1704,               0.008449,               0.008449,               0.008449
                     49,                 3.6767,                 3.6155,                 1.1579,                0.23834,                0.03846,                0.03575,                0.01422,                 4.0528,                 4.7484,                 1.1704,               0.008416,               0.008416,               0.008416
                     50,                 3.7159,                 3.5253,                 1.1985,                0.17502,                0.03846,                0.03526,                0.01058,                 4.2902,                 4.8732,                 1.2875,               0.008383,               0.008383,               0.008383
                     51,                  3.491,                  3.707,                 1.1945,                0.11365,                0.03846,                0.01216,                0.00255,                 4.2467,                 6.1832,                 1.2488,                0.00835,                0.00835,                0.00835
                     52,                 3.7487,                 3.5033,                 1.1782,                0.00095,                0.07692,                0.00055,                0.00016,                 4.3432,                 8.9007,                 1.3386,               0.008317,               0.008317,               0.008317
                     53,                 3.5866,                 3.8178,                 1.1961,                0.00095,                0.07692,                0.00055,                0.00016,                 4.3432,                 8.9007,                 1.3386,               0.008284,               0.008284,               0.008284
                     54,                 3.5957,                 3.3766,                 1.1975,                0.00048,                0.03846,                 0.0003,                  6e-05,                  4.452,                 7.5002,                 1.4313,               0.008251,               0.008251,               0.008251
                     55,                  3.802,                  3.663,                 1.2279,                0.00048,                0.03846,                0.00028,                  6e-05,                 4.7049,                  7.151,                 1.4798,               0.008218,               0.008218,               0.008218
                     56,                 3.4067,                 3.7558,                 1.2102,                0.00048,                0.03846,                0.00028,                  6e-05,                 4.4373,                 10.364,                  1.405,               0.008185,               0.008185,               0.008185
                     57,                 3.2316,                 3.5876,                 1.3054,                0.00048,                0.03846,                0.00028,                  6e-05,                 4.4373,                 10.364,                  1.405,               0.008152,               0.008152,               0.008152
                     58,                 3.6363,                 3.6376,                 1.2104,                0.00048,                0.03846,                0.00028,                  6e-05,                 4.2748,                 15.259,                 1.3386,               0.008119,               0.008119,               0.008119
                     59,                 3.5247,                 3.5789,                  1.243,                0.00059,                0.03846,                0.00031,                  3e-05,                 4.4068,                 16.125,                 1.4241,               0.008086,               0.008086,               0.008086
                     60,                 3.5814,                 3.4975,                 1.1754,                0.00105,                0.03846,                0.00034,                  7e-05,                 4.3795,                  19.29,                  1.469,               0.008053,               0.008053,               0.008053
                     61,                 3.8042,                 3.5809,                 1.1868,                0.00105,                0.03846,                0.00034,                  7e-05,                 4.3795,                  19.29,                  1.469,                0.00802,                0.00802,                0.00802
                     62,                  3.221,                 3.3739,                 1.2542,                0.00064,                0.03846,                0.00032,                  6e-05,                 4.5196,                 18.514,                 1.5311,               0.007987,               0.007987,               0.007987
                     63,                 3.4954,                  3.674,                 1.1857,                0.00181,                0.03846,                0.00043,                0.00013,                 4.5393,                 13.945,                 1.7173,               0.007954,               0.007954,               0.007954
                     64,                 3.2854,                 3.5594,                 1.2123,                0.00327,                0.03846,                0.00096,                0.00029,                 4.2924,                 8.5611,                 1.5516,               0.007921,               0.007921,               0.007921
                     65,                 3.4427,                 3.5716,                 1.1856,                0.00327,                0.03846,                0.00096,                0.00029,                 4.2924,                 8.5611,                 1.5516,               0.007888,               0.007888,               0.007888
                     66,                 3.4499,                 3.3969,                 1.1811,                0.01032,                0.03846,                0.00148,                0.00059,                 4.0173,                 6.4696,                 1.4989,               0.007855,               0.007855,               0.007855
                     67,                 3.5151,                 3.5103,                 1.1929,                0.02697,                0.03846,                0.00341,                0.00136,                 3.8158,                 6.0247,                 1.3498,               0.007822,               0.007822,               0.007822
