                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8099,                 6.5096,                 1.8563,                0.00797,                0.03846,                0.00098,                0.00012,                 4.4243,                  16.65,                 1.3967,                 0.0982,                 0.0002,                 0.0002
                      2,                 3.6419,                 3.5738,                 1.3872,                0.02666,                0.07692,                0.00392,                0.00079,                 3.8685,                 34.893,                 1.3007,               0.095498,             0.00049835,             0.00049835
                      3,                 3.8264,                 4.2952,                 1.4096,                0.02666,                0.07692,                0.00392,                0.00079,                 4.1823,                 1672.4,                 1.3178,               0.092795,             0.00079472,             0.00079472
                      4,                 3.8266,                 3.8032,                 1.3296,                0.02666,                0.07692,                0.00392,                0.00079,                 4.2846,                 1676.5,                 1.4309,               0.090089,              0.0010891,              0.0010891
                      5,                 3.6865,                 3.8056,                 1.3107,                0.02666,                0.07692,                0.00392,                0.00079,                 5.5231,              9.808e+07,                 200.57,               0.087382,              0.0013815,              0.0013815
                      6,                 4.0208,                 4.5394,                 1.3756,                0.02666,                0.07692,                0.00392,                0.00079,                 5.4012,             3.1445e+08,                 4121.1,               0.084672,               0.001672,               0.001672
                      7,                 4.2066,                 3.9557,                 1.4085,                0.02666,                0.07692,                0.00392,                0.00079,                0.00012,              5.183e+09,                 1.0071,                0.08196,              0.0019604,              0.0019604
                      8,                 3.9489,                 3.9131,                 1.4478,                0.02666,                0.07692,                0.00392,                0.00079,                      0,             2.1031e+07,                      0,               0.079247,              0.0022469,              0.0022469
                      9,                 3.7654,                 3.7843,                  1.451,                0.02666,                0.07692,                0.00392,                0.00079,                      0,                      0,                      0,               0.076531,              0.0025314,              0.0025314
                     10,                 3.6595,                 3.9175,                 1.3904,                0.02666,                0.07692,                0.00392,                0.00079,                      0,             9.6886e+06,                      0,               0.073814,              0.0028139,              0.0028139
                     11,                 3.8293,                 3.7535,                 1.4094,                0.02666,                0.07692,                0.00392,                0.00079,                      0,             1.1237e+07,                      0,               0.071094,              0.0030944,              0.0030944
                     12,                 3.7858,                 3.7482,                 1.3194,                0.02666,                0.07692,                0.00392,                0.00079,                 5.8734,             1.5555e+11,             1.2472e+09,               0.068373,              0.0033729,              0.0033729
                     13,                 4.0557,                 3.7285,                 1.3192,                0.02666,                0.07692,                0.00392,                0.00079,                 5.8278,             8.4205e+12,             5.0189e+09,                0.06565,              0.0036495,              0.0036495
                     14,                 4.2151,                 3.7725,                 1.2213,                0.02666,                0.07692,                0.00392,                0.00079,                 5.8331,             1.0523e+12,             1.2571e+10,               0.062924,              0.0039241,              0.0039241
                     15,                 4.1263,                 4.0652,                 1.2588,                0.02666,                0.07692,                0.00392,                0.00079,                      0,             2.1133e+10,                      0,               0.060197,              0.0041967,              0.0041967
                     16,                 3.8568,                 3.8987,                  1.199,                0.02666,                0.07692,                0.00392,                0.00079,                      0,             1.2841e+10,                      0,               0.057467,              0.0044673,              0.0044673
                     17,                 3.8878,                 3.8792,                 1.2955,                0.02666,                0.07692,                0.00392,                0.00079,                      0,                      0,                      0,               0.054736,               0.004736,               0.004736
                     18,                 3.8198,                 3.7168,                 1.2514,                0.02666,                0.07692,                0.00392,                0.00079,                      0,                      0,                      0,               0.052003,              0.0050027,              0.0050027
                     19,                 3.9257,                 3.9303,                 1.2813,                0.02666,                0.07692,                0.00392,                0.00079,                      0,             2.1181e+08,                      0,               0.049267,              0.0052674,              0.0052674
                     20,                 3.9237,                 3.7576,                 1.2485,                0.02666,                0.07692,                0.00392,                0.00079,                      0,             4.0481e+08,                      0,                0.04653,              0.0055301,              0.0055301
                     21,                 3.8613,                 3.8791,                 1.2469,                0.02666,                0.07692,                0.00392,                0.00079,                      0,             2.0836e+08,                      0,               0.043791,              0.0057908,              0.0057908
                     22,                  4.121,                 3.8277,                 1.2834,                0.02666,                0.07692,                0.00392,                0.00079,                      0,             1.5784e+08,                      0,                0.04105,              0.0060495,              0.0060495
                     23,                 3.9414,                 3.8839,                 1.2849,                0.02666,                0.07692,                0.00392,                0.00079,                      0,              4.039e+07,                      0,               0.038306,              0.0063063,              0.0063063
                     24,                 3.9203,                 3.8438,                 1.2427,                0.02666,                0.07692,                0.00392,                0.00079,                      0,             3.9808e+06,                      0,               0.035561,              0.0065611,              0.0065611
                     25,                 3.8719,                 3.8344,                 1.2184,                0.02666,                0.07692,                0.00392,                0.00079,                      0,             9.5978e+05,                      0,               0.032814,              0.0068139,              0.0068139
                     26,                 3.9388,                 3.8179,                 1.2265,                0.02666,                0.07692,                0.00392,                0.00079,                      0,                      0,                      0,               0.030065,              0.0070648,              0.0070648
                     27,                 3.9594,                 3.9241,                 1.2645,                0.02666,                0.07692,                0.00392,                0.00079,                      0,                      0,                      0,               0.027314,              0.0073136,              0.0073136
                     28,                 3.8041,                 3.7413,                 1.2213,                0.02666,                0.07692,                0.00392,                0.00079,                      0,                      0,                      0,                0.02456,              0.0075605,              0.0075605
                     29,                 3.8619,                 3.7652,                 1.2512,                0.02666,                0.07692,                0.00392,                0.00079,                      0,                      0,                      0,               0.021805,              0.0078054,              0.0078054
                     30,                 3.7536,                 3.8686,                 1.1832,                0.02666,                0.07692,                0.00392,                0.00079,                      0,                      0,                      0,               0.019048,              0.0080483,              0.0080483
                     31,                 3.8824,                 3.7123,                 1.2959,                0.02666,                0.07692,                0.00392,                0.00079,                      0,                 9849.2,                      0,               0.016289,              0.0082892,              0.0082892
                     32,                 4.0708,                 3.7342,                 1.2727,                0.02666,                0.07692,                0.00392,                0.00079,                      0,             7.3149e+05,                      0,               0.013528,              0.0085281,              0.0085281
                     33,                 3.8634,                 3.9285,                 1.2809,                0.02666,                0.07692,                0.00392,                0.00079,                      0,             7.3149e+05,                      0,               0.010765,              0.0087651,              0.0087651
                     34,                 3.8607,                 3.6679,                 1.2438,                0.02666,                0.07692,                0.00392,                0.00079,                      0,                  29991,                      0,               0.008911,               0.008911,               0.008911
                     35,                 3.9185,                 3.9111,                 1.2493,                0.02666,                0.07692,                0.00392,                0.00079,                      0,             7.5234e+06,                      0,               0.008878,               0.008878,               0.008878
